MUNICIPIO,VPH_AGUADV,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_LETR,VPH_NDEAED,GRAPROES
1,391.5,9.0,23.0,1.5,3.0,0.5,9.41
2,141.0,1.3333333333333333,29.55555555555556,6.333333333333333,3.555555555555556,0.1111111111111111,7.826666666666666
3,87.83333333333333,2.0,4.166666666666667,10.666666666666666,1.5,0.3333333333333333,6.793333333333333
4,563.1052631578947,2.421052631578948,136.89473684210526,17.842105263157894,7.684210526315789,0.0526315789473684,9.255263157894737
5,292.77777777777777,10.166666666666666,67.44444444444444,7.277777777777778,13.0,2.111111111111111,7.712222222222222
6,628.8,0.3689655172413793,110.04827586206896,7.417241379310345,0.2241379310344827,0.0241379310344827,11.05893103448276
7,230.7058823529412,17.823529411764707,75.82352941176471,5.647058823529412,87.05882352941177,1.2352941176470589,7.082352941176471
8,277.75,4.5,16.0,13.0,3.25,2.0,8.7625
9,605.4262295081967,6.344262295081967,162.65573770491804,16.37704918032787,5.918032786885246,0.1475409836065573,8.811311475409836
10,6268.75,41.0,546.25,28.0,24.75,1.0,9.3075
11,271.1111111111111,4.888888888888889,22.77777777777778,10.0,5.888888888888889,1.1111111111111112,7.2844444444444445
12,1269.3,2.0,255.6,9.15,0.9,0.1,9.6025
13,230.07692307692307,21.46153846153846,45.76923076923077,9.846153846153848,20.76923076923077,6.923076923076923,7.586153846153847
14,174.2972972972973,74.78378378378379,102.54054054054056,22.513513513513512,132.94594594594594,2.4864864864864864,6.694864864864865
15,53.0,1.7777777777777777,5.888888888888889,3.111111111111111,3.4444444444444446,0.1111111111111111,6.467777777777778
16,247.75,9.25,46.75,13.0,6.0,0.5,7.745
17,260.3513513513513,40.91891891891892,163.83783783783784,10.513513513513514,85.62162162162163,1.351351351351351,7.18837837837838
18,840.7647058823529,3.1838235294117645,132.4485294117647,7.051470588235294,1.6764705882352942,0.1691176470588235,10.316985294117648
19,588.8548387096774,0.2903225806451613,97.88709677419357,170.24193548387098,0.0161290322580645,0.1935483870967742,12.968225806451612
20,238.7142857142857,11.714285714285714,26.428571428571427,11.857142857142858,10.857142857142858,2.2857142857142856,7.902857142857143
21,837.4871794871794,5.903846153846154,96.32051282051282,5.057692307692308,2.333333333333333,0.1217948717948717,10.120833333333334
22,262.5882352941176,8.470588235294118,67.29411764705883,8.352941176470589,28.647058823529413,1.3529411764705883,7.392941176470589
23,213.0,6.0,17.666666666666668,7.666666666666667,5.333333333333333,1.3333333333333333,7.963333333333334
24,264.4,64.8,54.8,6.0,116.0,2.8,6.854000000000001
25,546.1111111111111,2.1777777777777776,119.71111111111112,6.177777777777778,2.0,0.2222222222222222,9.448666666666666
26,609.4563758389262,1.778523489932886,62.95302013422819,7.315436241610739,0.738255033557047,0.046979865771812,10.87520134228188
27,119.5,2.6666666666666665,8.833333333333334,4.0,4.333333333333333,0.8333333333333334,7.385000000000001
28,502.22222222222223,5.666666666666667,51.44444444444444,7.333333333333333,1.7777777777777777,0.2222222222222222,9.77
29,208.0,2.5,21.0,11.5,4.5,0.0,8.46
30,237.22222222222223,3.555555555555556,37.333333333333336,2.555555555555556,15.666666666666666,1.1111111111111112,8.55111111111111
31,242.5,5.0,63.0,5.75,43.25,1.25,7.28
32,783.0529411764705,2.6,96.2235294117647,4.594117647058823,1.6,0.0529411764705882,9.703882352941177
33,326.4,6.0,31.8,3.0,15.6,1.4,7.781999999999999
34,512.5957446808511,8.72340425531915,107.80851063829788,17.29787234042553,37.57446808510638,1.574468085106383,8.785319148936171
35,460.6666666666667,2.6666666666666665,27.666666666666668,9.666666666666666,1.0,0.0,9.126666666666669
36,228.0,2.5,21.5,4.5,0.5,0.5,8.515
37,148.7,38.9,54.7,32.9,127.1,1.8,6.464
38,230.0,15.714285714285714,44.57142857142857,7.857142857142857,16.428571428571427,0.0,7.141428571428572
39,491.07142857142856,5.380952380952381,72.19047619047619,12.738095238095235,26.214285714285715,0.4047619047619047,8.989761904761904
40,438.3504736129905,1.013531799729364,52.8660351826793,18.12043301759134,0.6035182679296346,0.0635994587280108,11.299418132611638
41,108.66666666666669,1.3333333333333333,15.666666666666666,1.0,2.0,0.3333333333333333,8.486666666666666
42,1550.071428571429,6.214285714285714,109.67857142857144,10.392857142857142,4.714285714285714,0.2142857142857142,9.194285714285714
43,146.75,4.5,25.58333333333333,20.416666666666668,12.0,0.4166666666666667,7.144166666666667
44,148.0,6.0,51.2,5.0,18.0,0.8,6.384
45,442.75,4.458333333333333,76.58333333333333,13.75,6.25,0.4166666666666667,9.485416666666667
46,1108.4074074074074,5.666666666666667,80.0,38.0,13.77777777777778,0.2962962962962963,9.246296296296295
47,509.0460251046025,0.1715481171548117,49.52301255230125,6.510460251046025,0.0334728033472803,0.0125523012552301,11.602384937238494
48,827.7070707070707,2.292929292929293,178.66666666666666,11.474747474747474,1.383838383838384,0.1717171717171717,10.21989898989899
49,601.12,10.16,127.52,33.56,2.96,0.16,9.9088
50,78.0,2.571428571428572,20.0,8.428571428571429,7.428571428571429,0.1428571428571428,6.867142857142857
51,212.0,4.666666666666667,44.0,10.666666666666666,9.833333333333334,0.3333333333333333,8.695
