Población total,% Con Agua Entubada,% Entubada dentro de la vivienda,% Sin Agua Entubada (Acarreo),MUNICIPIO
2974,0.9784801613987895,0.9418291862811029,0.02151983860121054,1
3382,0.9890597279716145,0.9455943228858663,0.010940272028385545,2
35289,0.9878715747116665,0.9723143189095752,0.012128425288333466,3
18030,0.9744315030504714,0.9259567387687188,0.025568496949528563,4
656464,0.991835043505813,0.9897115454922129,0.008164956494187026,5
14992,0.928962113127001,0.47058431163287084,0.07103788687299895,6
3661,0.9565692433761267,0.9267959573886916,0.0434307566238733,7
122337,0.9728536746854999,0.9541675862576326,0.02714632531450012,8
7340,0.985558583106267,0.9686648501362398,0.014441416893733017,9
9930,0.9303121852970796,0.8803625377643505,0.0696878147029204,10
68747,0.9976580796252927,0.9926396788223486,0.0023419203747072626,11
36088,0.7041675903347373,0.3946464198625582,0.2958324096652627,12
1360,0.9602941176470589,0.9419117647058823,0.039705882352941146,13
3256,0.9708230958230958,0.9097051597051597,0.029176904176904217,14
104478,0.9927065985183484,0.9875954746453799,0.007293401481651585,15
40903,0.8637752732073442,0.384715057575239,0.13622472679265585,16
397205,0.9956546367744615,0.9833864125577473,0.004345363225538468,17
5506,0.9578641482019615,0.9231747184889212,0.04213585179803847,18
481213,0.9915068794899556,0.9797075307608065,0.00849312051004436,19
14109,0.9686724785597846,0.8541356580905805,0.031327521440215444,20
1808,0.9828539823008849,0.952433628318584,0.017146017699115057,21
6282,0.7906717605858007,0.36548869786692134,0.2093282394141993,22
102149,0.9964463675611117,0.9894174196516853,0.003553632438888288,23
643143,0.9947181264508826,0.9893351867314112,0.005281873549117355,24
16086,0.9893696381947035,0.9653114509511377,0.010630361805296529,25
1386,0.9891774891774892,0.9184704184704184,0.010822510822510845,26
7026,0.99089097637347,0.9338172502134927,0.009109023626529988,27
3298,0.9636143117040631,0.5939963614311704,0.03638568829593691,28
471523,0.995338509468255,0.9882784084763627,0.004661490531745027,29
5351,0.9839282377125771,0.9342179031956643,0.016071762287422908,30
84666,0.9831219143457822,0.9095150355514611,0.016878085654217778,31
1407,0.9779673063255153,0.9594882729211087,0.022032693674484682,32
1959,0.9775395610005104,0.9433384379785605,0.022460438999489574,33
5389,0.9580627203562813,0.8784561143069215,0.04193727964371874,34
5119,0.9927720257862864,0.9525297909747997,0.007227974213713573,35
1483,0.9844908968307485,0.9716790289952798,0.01550910316925147,36
7652,0.7878985886042864,0.279665446941976,0.2121014113957136,37
6048,0.9401455026455027,0.8116732804232805,0.05985449735449733,38
67428,0.974224357833541,0.9209823812066203,0.025775642166459,39
1142994,0.9858126989293032,0.9760908631191415,0.014187301070696767,40
906,0.9812362030905077,0.9271523178807947,0.01876379690949226,41
147624,0.9950956484040535,0.9848195415379613,0.004904351595946488,42
2377,0.9655027345393353,0.6891039124947412,0.03449726546066467,43
34709,0.9869774410095364,0.9685960413725546,0.013022558990463562,44
86766,0.9940644953092225,0.9681787797063366,0.005935504690777527,45
412199,0.998376997518189,0.9959631149032385,0.00162300248181102,46
132169,0.9594761252638667,0.9548532560585311,0.04052387473613328,47
306322,0.9877645092419088,0.9802005732529822,0.012235490758091161,48
46784,0.9641544117647058,0.929484439124487,0.03584558823529416,49
1552,0.9755154639175257,0.8472938144329897,0.02448453608247425,50
3573,0.9818080044780296,0.9373075846627484,0.018191995521970372,51
