Ocupantes de viviendas particulares habitadas1,Desalojo por Red pública %,Desalojo por Barranca o grieta %,Desalojo por Río o lago %,No disponen de drenaje %,MUNICIPIO
2639,36.0353130016051,0.08025682182985,0.0,2.99355816597195,1
2433,68.2274247491638,0.33444816053511,0.33444816053511,11.7961364570489,2
34329,83.8172910318456,0.28977714046722,0.13144530083049,1.46814646508782,3
18170,89.3269340646783,0.0,0.0,3.43973582828838,4
597207,99.7867310972718,0.0205844985228091,0.0131605810227796,0.09829087736747,5
16140,17.4387880923022,0.38752862427338,0.0,28.5130111524163,6
3975,91.6731116267079,0.0,0.0,1.88679245283018,7
95527,93.4709231625961,0.0318214362832563,0.0,7.0043024485224,8
7757,89.0345649582836,0.13243279035889,0.07945967421533,1.01843496196983,9
10801,72.1101107316568,0.14488254165373,0.0,10.0731413757985,10
42715,98.1027835245439,0.0,0.0,0.06320964532365,11
34110,62.2610817405449,0.08133387555917,0.14233428222854,56.2093227792436,12
1632,3.9136302294197,0.0,0.0,8.02696078431372,13
2860,69.2885234179478,0.07150518412584,0.0,1.99300699300699,14
38297,97.393002269249,0.055411895086812,0.0,0.12533618821317,15
41130,11.6129032258064,0.20621593754603,0.0471350714390927,16.700705081449,16
247370,98.1303651675093,0.0057038325680691,0.0024444996720296,0.27974289525811,17
5479,19.266954135633,0.0392003136025088,0.0,6.68005110421609,18
425077,95.759188858657,0.06494060541708,0.6550942823826,0.07598623308247,19
14795,41.0413971539456,0.45278137128072,0.0,16.1338289962825,20
1044,67.1487603305785,1.2396694214876,0.0,5.93869731800766,21
6011,25.0524548887956,0.0,0.0,20.1463982698386,22
67251,99.0672653848472,0.0060273642336206,0.0,0.62155209587961,23
682748,98.9048266887495,0.0,0.0,0.18572006069589,24
13836,48.3199874391584,0.0549536818966871,0.14130946773433,6.86614628505348,25
1511,55.9748427672956,0.0,0.0,5.16214427531436,26
6921,82.3640364665199,0.06287331027978,0.0,7.62895535327264,27
3571,34.7154963680387,0.15133171912832,0.0,7.28087370484458,28
333442,97.0145595817297,0.0024205455909762,0.0054462275796965,0.32629362827718,29
5238,81.5031231110215,0.1611928269192,0.0,5.2119129438717,30
79853,87.1887588852378,0.06599480290927,0.0274978345455295,7.97214882346311,31
1289,38.8035569927243,0.56588520614389,0.0,2.01706749418153,32
1764,59.167671893848,0.30156815440289,0.18094089264173,5.83900226757369,33
4469,29.4010889292196,2.85195747990666,0.82966035779102,11.5909599462967,34
5630,88.704200178731,0.0,0.0,0.15985790408525,35
955,60.1931330472103,0.0,0.0,1.57068062827225,36
6996,25.8695652173913,0.65217391304347,0.30434782608695,66.1377930245854,37
5326,49.5269436445907,0.43192102015631,0.0,7.22868944799098,38
60805,74.3198718064133,0.0612160386021138,0.08822311445598,7.85626182057396,39
1109160,98.9865108595297,0.0270312475742652,0.0,0.3596415305276,40
971,69.3258426966292,0.0,0.0,7.72399588053553,41
87162,96.1632453567937,0.0349113252339059,0.06284038542103,0.15717858699892,42
2640,1.42984807864164,0.40214477211796,0.0,14.4696969696969,43
35440,89.1700781540751,0.0,0.0143139331825599,1.31772009029345,44
54192,71.5196494483153,0.0473718492785662,0.0,5.49527605550634,45
430143,99.9704475091472,0.0,0.0,0.06253734223269,46
123123,99.9900636752809,0.0,0.0,0.0,47
296954,97.497124611608,0.0,0.0267797366659228,0.51051678037675,48
42392,80.5743364311823,0.09078529278256,0.0,0.66757878845065,49
1632,25.2623688155922,0.59970014992503,0.0,18.1985294117647,50
4080,30.194200585262,0.0,0.0532056397978186,6.25,51
